time,D_avg,D_max,D_min,a,b,strain,strain_rate
0,-nan,-inf,inf,0,0,0,nan
0.001,0.0016949152542373,0.0016949152542373,0.0016949152542373,0.0001,0.059,1.2835214708065e-06,0.0012835214708065
0.003,0.0017132606039203,0.0019787163350685,0.0016949152542373,0.0001010823756313,0.059,3.8505637717789e-06,0.0012835211504862
0.007,0.0017132816362215,0.0019791356009031,0.0016949152542373,0.00010108361653707,0.059,8.9846948049617e-06,0.0012835327582957
0.015,0.0017132973438463,0.0019794399130376,0.0016949152542373,0.00010108454328693,0.059,1.9253185609762e-05,0.0012835613506
0.031,0.0017133106002618,0.0019796888162216,0.0016949152542373,0.00010108532541545,0.059,3.9791081891535e-05,0.0012836185176108
0.063,0.0017133234099944,0.0019799217922805,0.0016949152542373,0.00010108608118967,0.059,8.0870533411991e-05,0.0012837328600142
0.127,0.001713337546697,0.0019801714366959,0.0016949152542373,0.00010108691525512,0.059,0.00016304407571232,0.0012839615984427
0.255,0.0017133550952504,0.0019804736886582,0.0016949152542373,0.00010108795061977,0.059,0.00032744974500772,0.0012844192913703
0.511,0.0017133790752597,0.0019808786042142,0.0016949152542373,0.00010108936544032,0.058999999999999,0.00065649713982898,0.0012853413860206
1.023,0.0017134143714796,0.0019814656304338,0.0016949152542373,0.00010109144791737,0.059000000000041,0.0012948943501895,0.0012468695514853
1.1254,0.0017134709177882,0.0019828727805629,0.0016949152542373,0.00010109466277949,0.058999933675026,0.0012966751581277,1.7390702521574e-05
1.2278,0.0017135448714266,0.0019843118178867,0.0016949152542373,0.00010109897230697,0.058999904303266,0.0012984390347365,1.7225357508585e-05
1.4326,0.0017136190418606,0.0019857854233427,0.0016949152542373,0.00010110328586736,0.058999870160435,0.0013018998474001,1.6898499333773e-05
1.8422,0.0017136858252253,0.001987447112908,0.0016949152542373,0.00010110707725762,0.058999788839691,0.0013085859259754,1.6323434021812e-05
2.6614,0.0017137501234602,0.001989875555106,0.0016949152542373,0.0001011104872603,0.058999579260525,0.0013211856346416,1.5380503742902e-05
4.2998,0.0017138217380133,0.0019945090809431,0.0016949152542373,0.00010111365824354,0.058999003402429,0.0013441141221923,1.3994438202325e-05
7.5766,0.001713924578565,0.0020047021069957,0.0016949152542373,0.00010111675376796,0.058997380999582,0.0013840689765065,1.2193253880054e-05
14.1302,0.0017141184560915,0.0020273451323889,0.0016949152542373,0.00010111996251269,0.058992894817757,0.0014505382772972,1.014241039898e-05
27.2374,0.0017145467928832,0.0020749655659218,0.0016949152542373,0.00010112351654552,0.058981097090945,0.001555564282353,8.0128482861152e-06
53.4518,0.0017155262911205,0.0021678596705386,0.0016949152542373,0.00010112776749062,0.058952240542794,0.0017134965507932,6.024637925729e-06
105.8806,0.0017176864510091,0.0023342904652341,0.0016949152542373,0.00010113331820777,0.058887597238895,0.0019401935903344,4.3239028843142e-06
210.7382,0.0017221372877402,0.0026047557807301,0.0016949152542373,0.00010114112202859,0.058756339012621,0.0022555235256502,3.0072206050481e-06
420.4534,0.001730593564253,0.0030035727577317,0.0016949152542373,0.00010115247288356,0.058516152429984,0.0026899260019322,2.0713924230671e-06
839.8838,0.0017453359786768,0.0035499296082467,0.0016949152542373,0.00010116902382809,0.058120818257331,0.0032894254982506,1.4293181808433e-06
1678.7446,0.0017689294074049,0.004411039672091,0.0016949152542373,0.00010119296605509,0.057534463698241,0.0041175297230773,9.8717716315587e-07
3356.4662,0.0018039532294274,0.0057124374201446,0.0016949152542373,0.0001012274279976,0.056742074819661,0.0052585980185088,6.8012970413655e-07
6711.9094,0.0018528028467097,0.0072695440027157,0.0016949152542373,0.0001012772920934,0.055754571205228,0.0068337914227644,4.6944421656596e-07
13422.7958,0.0019180862656804,0.0091115599614395,0.0016949152542373,0.00010135102377638,0.054596523790739,0.0090435765664467,3.2928364629781e-07
23422.7958,0.002003839630905,0.011314614735746,0.0016949152542373,0.00010146529697283,0.05328502209181,0.011560511376253,2.5169348098068e-07
33422.7958,0.0020961382641651,0.013572200880394,0.0016949152542373,0.00010161151830937,0.052078616325874,0.013703709963506,2.1431985872529e-07
43422.7958,0.0021727103466195,0.015417407254364,0.0016949152542373,0.00010174901445007,0.051206048267014,0.015634810509026,1.9311005455201e-07
53422.7958,0.0022397161024551,0.01701321806209,0.0016949152542373,0.00010188355523478,0.050518045062269,0.017434262503478,1.7994519944513e-07
63422.7958,0.0023004215629724,0.018446582340547,0.0016949152542373,0.00010201826555199,0.049945816895912,0.019148226662309,1.7139641588311e-07
73422.7958,0.0023567557273328,0.019768829127845,0.0016949152542373,0.00010215511525676,0.049452509322317,0.02080578952291,1.6575628606014e-07
83422.7958,0.0024099511995545,0.021012685794956,0.0016949152542373,0.00010229550438716,0.04901627554897,0.022426217292546,1.6204277696354e-07
93422.7958,0.0024608352934493,0.022200140751866,0.0016949152542373,0.00010244048636106,0.048623235151383,0.024024124478995,1.5979071864497e-07
103422.7958,0.0025100226362977,0.023347296896113,0.0016949152542373,0.00010259101416722,0.048263833232667,0.025609754084644,1.585629605649e-07
113422.7958,0.0025579537980222,0.024465812140223,0.0016949152542373,0.00010274788275816,0.047931452307791,0.027191078899626,1.5813248149821e-07
123422.7958,0.0026049689111416,0.025564652948086,0.0016949152542373,0.0001029118295975,0.047621248997464,0.028774450311082,1.5833714114557e-07
133422.7958,0.0026513383331828,0.026650932507132,0.0016949152542373,0.00010308356097897,0.047329572888172,0.030365061832714,1.5906115216319e-07
143422.7958,0.0026972827095319,0.027730445412249,0.0016949152542373,0.00010326377529487,0.047053616124457,0.031967267856763,1.6022060240495e-07
153422.7958,0.0027429870398956,0.028808036969645,0.0016949152542373,0.0001034531721495,0.046791163893244,0.03358479811596,1.6175302591968e-07
163422.7958,0.0027886100637766,0.029887867010638,0.0016949152542373,0.00010365246253903,0.04654044331591,0.035220914988556,1.6361168725962e-07
173422.7958,0.0028342913174743,0.030973583655082,0.0016949152542373,0.00010386238234926,0.046300012586349,0.036878528858907,1.6576138703501e-07
183422.7958,0.0028801562233746,0.032068478786763,0.0016949152542373,0.00010408369747047,0.046068681626472,0.038560285067441,1.6817562085344e-07
193422.7958,0.0029263200755546,0.033175581209013,0.0016949152542373,0.00010431721262488,0.045845453410188,0.040268630970058,1.7083459026173e-07
203422.7958,0.0029728908983085,0.034297752493163,0.0016949152542373,0.00010456377690308,0.045629486566364,0.042005869093985,1.7372381239271e-07
213422.7958,0.0030199721043823,0.035437777134193,0.0016949152542373,0.0001048242940296,0.045420061298107,0.043774200695551,1.7683316015655e-07
223422.7958,0.0030676644139374,0.036598422880078,0.0016949152542373,0.0001050997285593,0.045216559198429,0.045575761042137,1.8015603465859e-07
233422.7958,0.0031160677517557,0.037782489832791,0.0016949152542373,0.00010539111576402,0.04501844040186,0.047412648512781,1.8368874706446e-07
243422.7958,0.0031652828057056,0.038992803348658,0.0016949152542373,0.00010569956984939,0.044825227151473,0.049286952391071,1.8743038782892e-07
253422.7958,0.0032154124727542,0.04023221864468,0.0016949152542373,0.00010602629725902,0.044636497433369,0.051200775542611,1.91382315154e-07
263422.7958,0.0032665633810111,0.041676863734811,0.0016949152542373,0.00010637260737417,0.044451873380349,0.053156255703827,1.9554801612165e-07
273422.7958,0.0033188471432677,0.043633451621156,0.0016949152542373,0.00010673992542536,0.04427101072811,0.055155584714263,1.9993290104359e-07
283422.7958,0.00337238157955,0.045722194622798,0.0016949152542373,0.00010712980673872,0.044093600881908,0.057201027732469,2.0454430182057e-07
293422.7958,0.0034272922870981,0.048215896582855,0.0016949152542373,0.00010754395143861,0.043919359495914,0.059295425443018,2.0943977105489e-07
303422.7958,0.0034837265128274,0.051085106581829,0.0016949152542373,0.00010798431689473,0.043747983543481,0.061440786207903,2.1453607648852e-07
313422.7958,0.003541819368726,0.05421891343813,0.0016949152542373,0.00010845288307841,0.043579263976461,0.063639736507805,2.1989502999026e-07
323422.7958,0.0036017298122206,0.057652567311145,0.0016949152542373,0.00010895192291135,0.043412972273461,0.065895027008279,2.2552905004731e-07
333422.7958,0.0036636320233682,0.061426793899807,0.0016949152542373,0.00010948395408113,0.043248889176172,0.068209577828882,2.3145508206033e-07
343422.7958,0.00372771787393,0.06558888601567,0.0016949152542373,0.0001100517752357,0.043086805673783,0.070586500927193,2.3769230983116e-07
353422.7958,0.0037941994352206,0.070194002057833,0.0016949152542373,0.00011065850124873,0.042926522459948,0.073029124127477,2.4426232002836e-07
363422.7958,0.0038633119794904,0.075306686045549,0.0016949152542373,0.0001113076100296,0.04276785030948,0.07554101744474,2.5118933172626e-07
373422.7958,0.0039353183952695,0.081002584047799,0.0016949152542373,0.00011200300425111,0.042610601395189,0.078126022202806,2.5850047580661e-07
383422.7958,0.0040105134489685,0.087370383120233,0.0016949152542373,0.00011274907871161,0.042454593145501,0.080788278833652,2.662256630846e-07
393422.7958,0.0040892286364818,0.094514265975077,0.0016949152542373,0.00011355079329888,0.042299646170587,0.083532284434063,2.7440056004115e-07
403422.7958,0.0041718389603415,0.10335277194562,0.0016949152542373,0.00011441377129161,0.042145582833441,0.086362872727508,2.8305882934445e-07
413422.7958,0.0042587684786756,0.11495844287701,0.0016949152542373,0.00011534439614509,0.041992226881823,0.089285386157988,2.9225134304803e-07
423422.7958,0.0043505028517788,0.12813873826596,0.0016949152542373,0.00011634998457407,0.041839395722981,0.092305525909502,3.0201397515136e-07
433422.7958,0.004447595129323,0.14304915504484,0.0016949152542373,0.00011743890019698,0.041686910316703,0.095429722377089,3.1241964675874e-07
443422.7958,0.004550687383766,0.15985236850558,0.0016949152542373,0.00011862084025021,0.041534582060908,0.09866484258938,3.2351202122907e-07
453422.7958,0.0046605177193681,0.17878151318311,0.0016949152542373,0.00011990699417726,0.041382223349017,0.10201806844729,3.3532258579081e-07
463422.7958,0.0047779349320641,0.20037418367146,0.0016949152542373,0.00012131024400637,0.041229653567685,0.10549807763927,3.4800091919838e-07
473422.7958,0.0049039555823151,0.22550819493272,0.0016949152542373,0.00012284591787514,0.041076653558283,0.10911508712952,3.6170094902497e-07
483422.7958,0.005039802698675,0.2548399998199,0.0016949152542373,0.00012453232205707,0.040922966623329,0.11287855134275,3.7634642132327e-07
493422.7958,0.0051868792212413,0.28911105383747,0.0016949152542373,0.00012639040540739,0.040768364736206,0.11680056039227,3.9220090495162e-07
503422.7958,0.0053469384435907,0.32915958277119,0.0016949152542373,0.00012844573833901,0.040612515282307,0.12089398127882,4.0934208865542e-07
513422.7958,0.0055221132155774,0.39784079696409,0.0016949152542373,0.00013072870668262,0.040454926523942,0.12517363483578,4.2796535569515e-07
518422.7958,0.0057150845051598,0.48730167249671,0.0016949152542373,0.00013327611973069,0.040295116467309,0.12735679089856,4.366312125571e-07
528422.7958,0.005823196593759,0.54947211907391,0.0016949152542373,0.00013473083609857,0.040214305182732,0.13194663537757,4.5898444790066e-07
538422.7958,0.0060501023579655,0.66801216483817,0.0016949152542373,0.00013776681309421,0.040049951897651,0.13676803363496,4.8213982573926e-07
548422.7958,0.0063058956507926,0.8000495275299,0.0016949152542373,0.00014119837126261,0.039881707702724,0.14184456403575,5.0765304007884e-07
558422.7958,0.0065978835937302,0.92524844276648,0.0016949152542373,0.00014509911993502,0.039708928578531,0.14720315133933,5.358587303582e-07
568422.7958,0.0069320927788092,1,0.0016949152542373,0.0001495591254579,0.039531122019412,0.15287549599419,5.6723446548555e-07
568422.79581,0.0073153308221848,1,0.0016949152542373,0.00015469070337864,0.039347423126772,0.15287553167627,0.0035682078930455
568422.795811,0.0073852247134,1,0.0016949152542373,0.00015528349153742,0.039347390357525,0.1528755420807,0.010404438893774
568422.7958111,0.0077916728178726,1,0.0016949152542373,0.00015900536934512,0.039347345466853,0.15287555848112,0.16400415386864
568422.79581111,0.0099102352035664,1,0.0016949152542373,0.00018011705106246,0.039347344208627,0.15287561816918,5.9688061215812
568422.79581112,0.019238817219478,1,0.0016949152542373,0.00028030411114185,0.039347300033388,0.15287608659699,46.84278085143
568422.79581114,0.036742227785011,1,0.0016949152542373,0.00046882151369397,0.039346374790215,0.1528786473544,128.0378704005
568422.79581118,0.058125684044172,1,0.0016949152542373,0.00071776782441812,0.039344093419111,0.15288525489678,165.18855950262
